drug	disease	CSH	AJG	PK	CSH_notes	AJG_notes	PK_notes	google	uptodate	drug_url	disease_url	tie	3-person consensus	pouya agreed with at least one person
Acarbose	type 2 diabetes mellitus	DM	SYM	DM	(glucosidase inhibitor)			https://www.google.com/webhp#q=Acarbose	http://www.uptodate.com/contents/search?search=Acarbose	http://www.drugbank.ca/drugs/DB00284	http://www.disease-ontology.org/term/DOID%3A9352	True	False	True
Acebutolol	hypertension	DM	SYM	DM	(cardioselective beta blocker			https://www.google.com/webhp#q=Acebutolol	http://www.uptodate.com/contents/search?search=Acebutolol	http://www.drugbank.ca/drugs/DB01193	http://www.disease-ontology.org/term/DOID%3A10763	True	False	True
Acetazolamide	epilepsy syndrome	NOT	SYM	DM	hm. Can be used for seizures but not great drug		amendment 2	https://www.google.com/webhp#q=Acetazolamide	http://www.uptodate.com/contents/search?search=Acetazolamide	http://www.drugbank.ca/drugs/DB00819	http://www.disease-ontology.org/term/DOID%3A1826	True	False	False
Acetylsalicylic acid	gout	NOT	SYM	SYM	not indicated. Asa can increase risk of gout		assumption 2	https://www.google.com/webhp#q=Acetylsalicylic acid	http://www.uptodate.com/contents/search?search=Acetylsalicylic acid	http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A13189	True	False	True
Acetylsalicylic acid	osteoarthritis	SYM	DM	SYM			see notes on osteoarthritis, NSAIDs and steroids	https://www.google.com/webhp#q=Acetylsalicylic acid	http://www.uptodate.com/contents/search?search=Acetylsalicylic acid	http://www.drugbank.ca/drugs/DB00945	http://www.disease-ontology.org/term/DOID%3A8398	True	False	True
Aciclovir	acquired immunodeficiency syndrome	DM	NOT	NOT	newer data shows it may slow diseae progression		only slows disease progression in HSV-positive patients (which is actually a very small subset of AIDS in the US, even though it is a large subset of AIDS patients in africa)	https://www.google.com/webhp#q=Aciclovir	http://www.uptodate.com/contents/search?search=Aciclovir	http://www.drugbank.ca/drugs/DB00787	http://www.disease-ontology.org/term/DOID%3A635	True	False	True
Acitretin	psoriasis	DM	SYM	DM				https://www.google.com/webhp#q=Acitretin	http://www.uptodate.com/contents/search?search=Acitretin	http://www.drugbank.ca/drugs/DB00459	http://www.disease-ontology.org/term/DOID%3A8893	True	False	True
Alitretinoin	hematologic cancer	DM	NOT	DM			used in leukemia, a hematological cancer	https://www.google.com/webhp#q=Alitretinoin	http://www.uptodate.com/contents/search?search=Alitretinoin	http://www.drugbank.ca/drugs/DB00523	http://www.disease-ontology.org/term/DOID%3A2531	True	False	True
Alitretinoin	peripheral nervous system neoplasm	DM	NOT	DM			can treat sarcomas, should work	https://www.google.com/webhp#q=Alitretinoin	http://www.uptodate.com/contents/search?search=Alitretinoin	http://www.drugbank.ca/drugs/DB00523	http://www.disease-ontology.org/term/DOID%3A1192	True	False	True
Amantadine	Parkinson's disease	DM	SYM	SYM			does not alter the downstream progression	https://www.google.com/webhp#q=Amantadine	http://www.uptodate.com/contents/search?search=Amantadine	http://www.drugbank.ca/drugs/DB00915	http://www.disease-ontology.org/term/DOID%3A14330	True	False	True
Amiloride	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Amiloride	http://www.uptodate.com/contents/search?search=Amiloride	http://www.drugbank.ca/drugs/DB00594	http://www.disease-ontology.org/term/DOID%3A10763	True	False	True
Amiodarone	coronary artery disease	NOT	SYM	NOT	treats arrthymias			https://www.google.com/webhp#q=Amiodarone	http://www.uptodate.com/contents/search?search=Amiodarone	http://www.drugbank.ca/drugs/DB01118	http://www.disease-ontology.org/term/DOID%3A3393	True	False	True
Amiodarone	hypertension	NOT	SYM	NOT	treats arrthymias		I would not consider arrythmias to be a classic symptom of HTN	https://www.google.com/webhp#q=Amiodarone	http://www.uptodate.com/contents/search?search=Amiodarone	http://www.drugbank.ca/drugs/DB01118	http://www.disease-ontology.org/term/DOID%3A10763	True	False	True
Amitriptyline	migraine	DM	SYM	DM	(may decr freq of ha)		see notes on migraine	https://www.google.com/webhp#q=Amitriptyline	http://www.uptodate.com/contents/search?search=Amitriptyline	http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A6364	True	False	True
Amitriptyline	rheumatoid arthritis	SYM	NOT	SYM	SYM or NOT		close call, but agreed with CSH	https://www.google.com/webhp#q=Amitriptyline	http://www.uptodate.com/contents/search?search=Amitriptyline	http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A7148	True	False	True
Amitriptyline	systemic lupus erythematosus	SYM	NOT	SYM	SYM or NOT		close call, but agreed with CSH	https://www.google.com/webhp#q=Amitriptyline	http://www.uptodate.com/contents/search?search=Amitriptyline	http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A9074	True	False	True
Amlodipine	coronary artery disease	DM	SYM	SYM			see notes on coronary artery disease	https://www.google.com/webhp#q=Amlodipine	http://www.uptodate.com/contents/search?search=Amlodipine	http://www.drugbank.ca/drugs/DB00381	http://www.disease-ontology.org/term/DOID%3A3393	True	False	True
Amrinone	dilated cardiomyopathy	SYM	DM	SYM			probably worsens downstream biology (except in very advanced cases)	https://www.google.com/webhp#q=Amrinone	http://www.uptodate.com/contents/search?search=Amrinone	http://www.drugbank.ca/drugs/DB01427	http://www.disease-ontology.org/term/DOID%3A12930	True	False	True
Arformoterol	asthma	DM	SYM	DM			see notes on asthma	https://www.google.com/webhp#q=Arformoterol	http://www.uptodate.com/contents/search?search=Arformoterol	http://www.drugbank.ca/drugs/DB01274	http://www.disease-ontology.org/term/DOID%3A2841	True	False	True
Arformoterol	chronic obstructive pulmonary disease	DM	SYM	DM			see notes for COPD	https://www.google.com/webhp#q=Arformoterol	http://www.uptodate.com/contents/search?search=Arformoterol	http://www.drugbank.ca/drugs/DB01274	http://www.disease-ontology.org/term/DOID%3A3083	True	False	True
Atropine	Crohn's disease	SYM	NOT	SYM			diarrhea, per medscape	https://www.google.com/webhp#q=Atropine	http://www.uptodate.com/contents/search?search=Atropine	http://www.drugbank.ca/drugs/DB00572	http://www.disease-ontology.org/term/DOID%3A8778	True	False	True
Atropine	Parkinson's disease	SYM	NOT	SYM			same as benzatropine	https://www.google.com/webhp#q=Atropine	http://www.uptodate.com/contents/search?search=Atropine	http://www.drugbank.ca/drugs/DB00572	http://www.disease-ontology.org/term/DOID%3A14330	True	False	True
Auranofin	psoriatic arthritis	DM	SYM	DM			http://www.ncbi.nlm.nih.gov/pubmed/2645874	https://www.google.com/webhp#q=Auranofin	http://www.uptodate.com/contents/search?search=Auranofin	http://www.drugbank.ca/drugs/DB00995	http://www.disease-ontology.org/term/DOID%3A9008	True	False	True
Auranofin	rheumatoid arthritis	DM	SYM	DM				https://www.google.com/webhp#q=Auranofin	http://www.uptodate.com/contents/search?search=Auranofin	http://www.drugbank.ca/drugs/DB00995	http://www.disease-ontology.org/term/DOID%3A7148	True	False	True
Beclomethasone	psoriasis	DM	SYM	DM				https://www.google.com/webhp#q=Beclomethasone	http://www.uptodate.com/contents/search?search=Beclomethasone	http://www.drugbank.ca/drugs/DB00394	http://www.disease-ontology.org/term/DOID%3A8893	True	False	True
Benazepril	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Benazepril	http://www.uptodate.com/contents/search?search=Benazepril	http://www.drugbank.ca/drugs/DB00542	http://www.disease-ontology.org/term/DOID%3A10763	True	False	True
Bepridil	hypertension	NOT	SYM	DM			has antihypertensive effects, see my notes on HTN drugs, also amendment 1	https://www.google.com/webhp#q=Bepridil	http://www.uptodate.com/contents/search?search=Bepridil	http://www.drugbank.ca/drugs/DB01244	http://www.disease-ontology.org/term/DOID%3A10763	True	False	False
Betamethasone	ankylosing spondylitis	DM	SYM	DM				https://www.google.com/webhp#q=Betamethasone	http://www.uptodate.com/contents/search?search=Betamethasone	http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A7147	True	False	True
Betamethasone	asthma	DM	SYM	DM			see notes on asthma	https://www.google.com/webhp#q=Betamethasone	http://www.uptodate.com/contents/search?search=Betamethasone	http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A2841	True	False	True
Betamethasone	breast cancer	SYM	NOT	SYM		supportive	see notes on steroids in cancers	https://www.google.com/webhp#q=Betamethasone	http://www.uptodate.com/contents/search?search=Betamethasone	http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A1612	True	False	True
Betamethasone	hematologic cancer	SYM	NOT	DM			see notes on steroids in cancers	https://www.google.com/webhp#q=Betamethasone	http://www.uptodate.com/contents/search?search=Betamethasone	http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A2531	True	False	False
Betaxolol	glaucoma	DM	SYM	DM			see notes on glaucoma	https://www.google.com/webhp#q=Betaxolol	http://www.uptodate.com/contents/search?search=Betaxolol	http://www.drugbank.ca/drugs/DB00195	http://www.disease-ontology.org/term/DOID%3A1686	True	False	True
Betaxolol	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Betaxolol	http://www.uptodate.com/contents/search?search=Betaxolol	http://www.drugbank.ca/drugs/DB00195	http://www.disease-ontology.org/term/DOID%3A10763	True	False	True
Bimatoprost	glaucoma	DM	SYM	DM			see notes on glaucoma	https://www.google.com/webhp#q=Bimatoprost	http://www.uptodate.com/contents/search?search=Bimatoprost	http://www.drugbank.ca/drugs/DB00905	http://www.disease-ontology.org/term/DOID%3A1686	True	False	True
Bimatoprost	hypertension	NOT	SYM	NOT			see notes regarding occular HTN	https://www.google.com/webhp#q=Bimatoprost	http://www.uptodate.com/contents/search?search=Bimatoprost	http://www.drugbank.ca/drugs/DB00905	http://www.disease-ontology.org/term/DOID%3A10763	True	False	True
Biperiden	Alzheimer's disease	SYM	NOT	NOT			"is used to ""cause"" alzheimer's in rats"	https://www.google.com/webhp#q=Biperiden	http://www.uptodate.com/contents/search?search=Biperiden	http://www.drugbank.ca/drugs/DB00810	http://www.disease-ontology.org/term/DOID%3A10652	True	False	True
Brinzolamide	glaucoma	DM	SYM	DM			see notes on glaucoma	https://www.google.com/webhp#q=Brinzolamide	http://www.uptodate.com/contents/search?search=Brinzolamide	http://www.drugbank.ca/drugs/DB01194	http://www.disease-ontology.org/term/DOID%3A1686	True	False	True
Bromocriptine	type 2 diabetes mellitus	NOT	DM	DM			by ammendment 1	https://www.google.com/webhp#q=Bromocriptine	http://www.uptodate.com/contents/search?search=Bromocriptine	http://www.drugbank.ca/drugs/DB01200	http://www.disease-ontology.org/term/DOID%3A9352	True	False	True
Budesonide	ulcerative colitis	DM	SYM	DM				https://www.google.com/webhp#q=Budesonide	http://www.uptodate.com/contents/search?search=Budesonide	http://www.drugbank.ca/drugs/DB01222	http://www.disease-ontology.org/term/DOID%3A8577	True	False	True
Bumetanide	hypertension	SYM	DM	DM			see notes for diuretics in HTN	https://www.google.com/webhp#q=Bumetanide	http://www.uptodate.com/contents/search?search=Bumetanide	http://www.drugbank.ca/drugs/DB00887	http://www.disease-ontology.org/term/DOID%3A10763	True	False	True
Bupropion	obesity	NOT	DM	DM			"uptodate ""Obesity in adults: Drug therapy"""	https://www.google.com/webhp#q=Bupropion	http://www.uptodate.com/contents/search?search=Bupropion	http://www.drugbank.ca/drugs/DB01156	http://www.disease-ontology.org/term/DOID%3A9970	True	False	True
Busulfan	colon cancer	NOT	DM	NOT			only for heme-cancers	https://www.google.com/webhp#q=Busulfan	http://www.uptodate.com/contents/search?search=Busulfan	http://www.drugbank.ca/drugs/DB01008	http://www.disease-ontology.org/term/DOID%3A219	True	False	True
Calcitriol	psoriasis	DM	SYM	DM			per uptodate	https://www.google.com/webhp#q=Calcitriol	http://www.uptodate.com/contents/search?search=Calcitriol	http://www.drugbank.ca/drugs/DB00136	http://www.disease-ontology.org/term/DOID%3A8893	True	False	True
Calcium Acetate	chronic kidney failure	SYM	NOT	SYM		Treats side effect	"made all of these ""SYM"" to be self-consistent, CSH and AJG usually agreed"	https://www.google.com/webhp#q=Calcium Acetate	http://www.uptodate.com/contents/search?search=Calcium Acetate	http://www.drugbank.ca/drugs/DB00258	http://www.disease-ontology.org/term/DOID%3A784	True	False	True
Calcium Acetate	osteoporosis	SYM	DM	DM				https://www.google.com/webhp#q=Calcium Acetate	http://www.uptodate.com/contents/search?search=Calcium Acetate	http://www.drugbank.ca/drugs/DB00258	http://www.disease-ontology.org/term/DOID%3A11476	True	False	True
Capecitabine	kidney cancer	DM	NOT	DM	case rep, not approved		not just a case report, see Br J Cancer. 2000 Sep;83(5):583-7.	https://www.google.com/webhp#q=Capecitabine	http://www.uptodate.com/contents/search?search=Capecitabine	http://www.drugbank.ca/drugs/DB01101	http://www.disease-ontology.org/term/DOID%3A263	True	False	True
Captopril	systemic scleroderma	DM	SYM	DM	prevents vascualr damage	Helps renal disease in Scleroderma		https://www.google.com/webhp#q=Captopril	http://www.uptodate.com/contents/search?search=Captopril	http://www.drugbank.ca/drugs/DB01197	http://www.disease-ontology.org/term/DOID%3A418	True	False	True
Carbachol	glaucoma	DM	SYM	DM			see notes on glaucoma	https://www.google.com/webhp#q=Carbachol	http://www.uptodate.com/contents/search?search=Carbachol	http://www.drugbank.ca/drugs/DB00411	http://www.disease-ontology.org/term/DOID%3A1686	True	False	True
Carmustine	skin cancer	DM	NOT	NOT		Only for metastatic disease	"I don't consider cutaneous lymphoma to be a ""skin cancer"""	https://www.google.com/webhp#q=Carmustine	http://www.uptodate.com/contents/search?search=Carmustine	http://www.drugbank.ca/drugs/DB00262	http://www.disease-ontology.org/term/DOID%3A4159	True	False	True
Carteolol	glaucoma	DM	SYM	DM			see notes on glaucoma	https://www.google.com/webhp#q=Carteolol	http://www.uptodate.com/contents/search?search=Carteolol	http://www.drugbank.ca/drugs/DB00521	http://www.disease-ontology.org/term/DOID%3A1686	True	False	True
Carteolol	hypertension	NOT	SYM	NOT			see notes regarding occular HTN	https://www.google.com/webhp#q=Carteolol	http://www.uptodate.com/contents/search?search=Carteolol	http://www.drugbank.ca/drugs/DB00521	http://www.disease-ontology.org/term/DOID%3A10763	True	False	True
Carvedilol	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Carvedilol	http://www.uptodate.com/contents/search?search=Carvedilol	http://www.drugbank.ca/drugs/DB01136	http://www.disease-ontology.org/term/DOID%3A10763	True	False	True
Celecoxib	colon cancer	SYM	NOT	SYM				https://www.google.com/webhp#q=Celecoxib	http://www.uptodate.com/contents/search?search=Celecoxib	http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A219	True	False	True
Celecoxib	hematologic cancer	SYM	NOT	SYM				https://www.google.com/webhp#q=Celecoxib	http://www.uptodate.com/contents/search?search=Celecoxib	http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A2531	True	False	True
Celecoxib	kidney cancer	SYM	NOT	SYM				https://www.google.com/webhp#q=Celecoxib	http://www.uptodate.com/contents/search?search=Celecoxib	http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A263	True	False	True
Celecoxib	prostate cancer	SYM	NOT	SYM				https://www.google.com/webhp#q=Celecoxib	http://www.uptodate.com/contents/search?search=Celecoxib	http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A10283	True	False	True
Celecoxib	systemic lupus erythematosus	SYM	NOT	SYM			see notes for lupus	https://www.google.com/webhp#q=Celecoxib	http://www.uptodate.com/contents/search?search=Celecoxib	http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A9074	True	False	True
Celecoxib	systemic scleroderma	SYM	NOT	SYM				https://www.google.com/webhp#q=Celecoxib	http://www.uptodate.com/contents/search?search=Celecoxib	http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A418	True	False	True
Cetirizine	allergic rhinitis	DM	SYM	DM			see note on antihistamines and steroids in allergic rhinitis	https://www.google.com/webhp#q=Cetirizine	http://www.uptodate.com/contents/search?search=Cetirizine	http://www.drugbank.ca/drugs/DB00341	http://www.disease-ontology.org/term/DOID%3A4481	True	False	True
Chenodeoxycholic acid	primary biliary cirrhosis	SYM	NOT	DM			"in trials, see uptodate ""Overview of the treatment of primary biliary cholangitis (primary biliary cirrhosis)"""	https://www.google.com/webhp#q=Chenodeoxycholic acid	http://www.uptodate.com/contents/search?search=Chenodeoxycholic acid	http://www.drugbank.ca/drugs/DB06777	http://www.disease-ontology.org/term/DOID%3A12236	True	False	False
Chlorpropamide	type 2 diabetes mellitus	NOT	SYM	DM	no longer recommended due to side effects		by amendment 1	https://www.google.com/webhp#q=Chlorpropamide	http://www.uptodate.com/contents/search?search=Chlorpropamide	http://www.drugbank.ca/drugs/DB00672	http://www.disease-ontology.org/term/DOID%3A9352	True	False	False
